YEAR,DOY,T2M,WS2M,RH2M,PRECTOTCORR
2015,163,16.2,1.1,68.94,0.02
2015,164,16.09,2.17,70.36,0.01
2015,165,16.17,1.43,72.08,0.03
2015,166,16.47,1.83,82.11,1.47
2015,167,16.35,3.43,92.78,4.1
2015,168,15.54,2.56,93.2,9.67
2015,169,14.45,3.44,87.72,20.74
2015,170,13.61,4.81,85.14,6.66
2015,171,13.06,4.1,78.31,0.29
2015,172,14.16,1.55,75.91,0.24
2015,173,13.98,2.72,79.99,0.02
2015,174,14.05,2.97,79.71,0.03
2015,175,15.36,2.38,82.54,0.17
2015,176,15.45,3.41,86.23,2.69
2015,177,15.54,2.53,70.39,0.11
2015,178,14.11,1.98,72.35,0.01
2015,179,14.2,2.37,71.43,0.0
2015,180,15.68,1.74,69.7,0.04
2015,181,14.64,2.19,76.28,0.02
2015,182,13.52,2.76,75.01,0.09
2015,183,12.18,4.97,71.36,0.01
2015,184,12.23,3.07,70.6,0.01
2015,185,11.57,2.76,63.09,0.0
2015,186,11.89,2.16,69.46,0.0
2015,187,11.57,3.64,71.3,0.02
2015,188,12.37,4.13,79.62,0.46
2015,189,12.99,2.14,74.68,0.11
2015,190,13.92,1.19,63.68,0.0
2015,191,12.96,2.57,83.95,1.78
2015,192,12.44,2.83,86.7,4.96
2015,193,11.39,5.25,77.37,1.02
2015,194,12.2,6.13,75.19,1.9
2015,195,12.25,3.93,67.69,0.17
2015,196,11.21,1.78,66.3,0.01
2015,197,11.4,2.38,77.63,1.63
2015,198,10.32,5.24,83.99,7.73
2015,199,12.3,4.92,78.5,0.32
2015,200,13.72,3.03,73.92,0.16
2015,201,14.31,2.31,69.55,0.03
2015,202,14.3,2.76,79.31,0.0
2015,203,13.56,3.13,85.46,0.01
2015,204,14.09,1.33,82.17,0.24
2015,205,15.47,2.29,79.74,0.06
2015,206,14.81,2.93,70.72,0.0
2015,207,13.93,4.29,67.9,0.0
2015,208,11.67,4.7,63.21,0.0
2015,209,12.57,3.57,70.84,0.0
2015,210,13.46,2.11,70.56,0.0
2015,211,13.96,3.2,68.68,0.0
2015,212,14.6,2.51,62.93,0.0
2015,213,15.01,2.99,71.65,0.01
2015,214,16.79,3.2,65.81,0.03
2015,215,13.28,3.92,62.46,0.0
2015,216,11.23,2.74,63.82,0.0
2015,217,10.65,4.31,67.91,0.02
2015,218,11.74,4.03,67.14,0.01
2015,219,12.31,3.11,71.1,0.0
2015,220,12.64,3.44,76.09,0.03
2015,221,13.51,2.32,76.87,0.0
2015,222,14.09,2.74,69.01,0.02
2015,223,14.32,2.38,63.56,0.03
2015,224,12.76,4.42,68.5,0.69
2015,225,13.21,4.82,65.8,0.06
2015,226,13.68,2.41,64.8,0.01
2015,227,14.22,2.7,78.55,0.02
2015,228,15.93,1.81,69.4,0.12
2015,229,14.64,3.69,63.65,0.02
2015,230,12.91,3.35,68.27,0.03
2015,231,14.23,2.07,66.51,0.0
2015,232,15.13,2.52,77.77,0.0
2015,233,16.22,2.76,68.58,0.0
2015,234,18.95,2.79,72.03,0.13
2015,235,16.86,2.31,84.14,4.33
2015,236,16.69,3.43,84.8,22.36
2015,237,15.25,4.84,85.81,19.02
2015,238,15.46,2.34,82.67,10.75
2015,239,16.27,2.37,77.38,2.59
2015,240,14.6,3.87,74.32,1.4
2015,241,14.5,2.78,67.23,0.1
2015,242,13.78,3.93,71.05,0.05
2015,243,14.26,3.69,70.29,0.02
2015,244,13.88,2.63,64.63,0.01
2015,245,14.59,2.84,65.62,0.0
2015,246,15.39,4.49,76.21,5.68
2015,247,15.94,4.03,73.99,1.7
2015,248,15.58,2.82,74.43,0.31
2015,249,15.6,2.59,75.77,1.82
2015,250,16.41,3.44,70.62,0.25
2015,251,14.3,4.3,61.25,0.01
2015,252,14.8,3.4,68.91,0.01
2015,253,16.09,3.08,69.14,0.01
2015,254,17.43,2.18,66.82,0.0
2015,255,17.43,1.87,67.95,0.0
2015,256,18.53,1.98,70.84,0.0
2015,257,18.3,3.43,79.13,0.0
2015,258,19.66,3.7,64.96,0.01
2015,259,16.13,2.55,65.52,0.01
2015,260,15.99,2.74,69.45,0.46
2015,261,16.12,4.39,74.42,3.01
2015,262,16.43,3.04,71.35,2.39
2015,263,16.54,2.34,73.86,1.02
2015,264,17.97,2.26,74.88,0.28
2015,265,15.54,5.41,70.7,0.71
2015,266,13.84,7.45,69.18,0.99
2015,267,14.01,6.64,75.13,3.19
2015,268,15.63,6.07,71.05,1.87
2015,269,16.21,4.03,71.9,2.29
2015,270,15.99,4.32,71.17,0.5
2015,271,16.42,2.41,66.68,0.02
2015,272,18.49,2.45,64.06,0.01
2015,273,17.69,3.22,74.08,0.3
2015,274,19.87,1.72,72.12,0.06
2015,275,18.98,2.64,75.19,0.01
2015,276,20.89,1.94,65.59,0.0
2015,277,23.38,2.41,49.14,0.0
2015,278,23.77,1.75,49.58,0.0
2015,279,24.18,2.18,52.21,0.0
2015,280,19.0,4.75,66.58,0.14
2015,281,18.89,3.51,64.92,0.0
2015,282,19.25,3.21,70.14,0.26
2015,283,20.11,1.9,74.81,0.56
2015,284,20.24,2.12,73.65,2.75
2015,285,21.35,2.4,74.15,0.76
2015,286,18.91,3.9,80.43,3.38
2015,287,19.97,3.37,77.55,0.17
2015,288,20.35,3.51,77.42,0.02
2015,289,22.12,2.73,70.07,0.0
2015,290,20.8,1.79,81.65,0.13
2015,291,19.65,2.86,82.13,1.65
2015,292,21.03,2.85,80.46,0.35
2015,293,22.38,2.58,74.9,1.94
2015,294,23.5,1.7,68.88,1.27
2015,295,18.88,4.72,86.43,10.3
2015,296,17.77,4.24,66.84,0.23
2015,297,19.14,2.49,63.9,0.02
2015,298,20.82,3.18,72.33,0.01
2015,299,21.6,2.97,74.88,4.77
2015,300,17.48,6.04,68.13,4.91
2015,301,17.72,2.7,60.08,0.03
2015,302,18.54,2.46,60.36,0.01
2015,303,19.21,3.12,64.65,0.0
2015,304,20.15,3.97,74.52,0.7
2015,305,21.72,2.81,77.95,2.03
2015,306,22.01,2.75,80.89,12.69
2015,307,19.3,3.87,83.67,3.6
2015,308,19.07,4.15,89.02,15.75
2015,309,19.5,5.46,89.12,13.66
2015,310,21.97,1.58,77.37,3.98
2015,311,19.43,3.81,81.99,2.79
2015,312,18.15,4.48,72.95,0.56
2015,313,18.96,2.08,63.98,0.0
2015,314,20.2,2.38,71.98,0.09
2015,315,20.26,2.17,78.0,0.93
2015,316,20.8,3.65,78.32,4.94
2015,317,20.63,2.87,82.99,8.78
2015,318,18.08,3.91,84.36,22.96
2015,319,18.04,4.51,75.46,9.15
2015,320,18.33,2.78,67.65,0.05
2015,321,19.85,2.93,69.78,0.0
2015,322,23.08,2.8,65.58,0.0
2015,323,25.19,0.96,61.28,0.0
2015,324,26.34,2.44,66.63,0.02
2015,325,19.77,4.13,71.96,0.17
2015,326,19.86,3.2,69.37,0.04
2015,327,20.31,3.03,79.09,0.01
2015,328,20.91,2.98,74.93,0.0
2015,329,23.11,2.7,65.55,0.0
2015,330,24.74,3.66,54.61,0.01
2015,331,18.91,3.19,67.21,0.0
2015,332,20.99,3.8,68.76,0.52
2015,333,21.85,3.56,80.67,1.52
2015,334,21.66,2.36,74.27,0.06
2015,335,25.06,2.79,60.08,0.0
2015,336,20.58,4.3,65.48,0.28
2015,337,19.09,3.14,61.84,0.0
2015,338,19.82,2.48,62.57,0.0
2015,339,20.62,2.55,66.27,0.0
2015,340,21.36,2.21,70.85,0.0
2015,341,21.59,2.63,71.9,0.19
2015,342,22.1,3.19,82.77,2.02
2015,343,23.91,1.93,80.0,1.91
2015,344,22.47,2.5,84.5,0.86
2015,345,24.83,2.44,58.25,0.13
2015,346,18.97,3.42,70.07,0.4
2015,347,20.8,3.99,70.32,0.11
2015,348,22.61,2.21,69.4,0.01
2015,349,22.47,2.6,83.8,2.18
2015,350,21.94,2.46,82.38,10.8
2015,351,22.19,2.36,74.46,1.02
2015,352,23.31,2.86,71.34,0.01
2015,353,24.13,2.97,66.34,0.0
2015,354,25.25,3.16,66.52,0.0
2015,355,22.11,3.55,77.79,13.76
2015,356,19.48,3.67,83.32,26.61
2015,357,20.48,3.36,74.53,6.54
2015,358,20.84,3.27,67.12,0.21
2015,359,21.34,3.3,69.36,0.48
2015,360,23.02,3.1,80.65,3.64
2015,361,19.42,6.0,68.44,0.48
2015,362,19.24,4.45,66.6,0.27
2015,363,19.76,2.91,64.24,0.02
2015,364,20.0,2.27,67.37,0.0
2015,365,21.38,2.05,72.17,0.0
2016,1,21.21,2.25,72.02,0.0
2016,2,20.67,2.0,73.48,0.0
2016,3,21.41,3.65,71.82,4.05
2016,4,21.04,4.2,77.07,15.13
2016,5,20.03,5.06,82.17,62.08
2016,6,19.3,6.21,85.91,16.9
2016,7,19.79,5.92,76.26,3.5
2016,8,20.28,2.08,74.88,0.02
2016,9,21.17,1.75,73.03,0.0
2016,10,22.21,2.34,78.0,0.03
2016,11,24.5,2.26,82.62,0.8
2016,12,23.91,3.06,83.54,0.09
2016,13,23.39,2.23,80.67,0.08
2016,14,25.27,3.8,81.75,16.93
2016,15,18.99,6.65,71.76,21.38
2016,16,20.4,4.12,66.68,1.94
2016,17,21.34,2.56,63.68,0.04
2016,18,22.15,1.89,70.66,0.04
2016,19,24.0,2.72,74.98,0.01
2016,20,26.22,2.67,69.45,0.02
2016,21,25.85,1.81,83.17,23.03
2016,22,24.51,1.35,91.61,22.77
2016,23,22.71,3.75,81.76,1.64
2016,24,21.81,2.91,77.36,1.35
2016,25,22.74,2.72,76.62,2.78
2016,26,23.12,2.7,77.63,1.05
2016,27,22.46,3.78,80.76,1.38
2016,28,23.0,2.94,83.96,4.42
2016,29,23.68,2.85,87.94,11.82
2016,30,23.84,2.16,87.71,20.95
2016,31,23.88,2.7,71.42,0.82
2016,32,22.1,2.11,68.99,3.18
2016,33,21.54,2.69,73.97,0.16
2016,34,23.6,2.33,74.82,4.29
2016,35,21.82,6.96,78.42,5.6
2016,36,22.0,5.89,70.41,0.34
2016,37,22.49,3.64,71.28,0.98
2016,38,22.77,2.08,69.63,0.08
2016,39,23.12,2.22,74.62,0.01
2016,40,23.01,3.08,74.43,0.16
2016,41,23.29,2.72,73.36,0.0
2016,42,23.47,2.44,74.92,0.62
2016,43,24.02,2.35,75.74,0.17
2016,44,24.25,2.99,72.54,0.0
2016,45,25.14,2.96,72.44,0.2
2016,46,24.1,2.58,82.96,0.66
2016,47,22.35,4.32,71.14,0.06
2016,48,20.46,3.49,64.93,0.09
2016,49,22.2,1.94,63.73,0.0
2016,50,24.68,2.94,79.2,0.01
2016,51,24.1,3.92,84.9,3.91
2016,52,23.84,3.06,82.52,2.24
2016,53,24.73,2.53,76.67,0.0
2016,54,24.66,2.97,72.76,0.0
2016,55,25.06,3.35,74.08,0.0
2016,56,26.6,2.48,69.24,0.0
2016,57,24.31,4.12,77.88,0.36
2016,58,23.74,3.47,70.01,0.34
2016,59,23.68,1.95,67.58,0.02
2016,60,23.71,2.2,72.54,0.16
2016,61,24.12,2.8,72.39,0.13
2016,62,24.06,3.7,76.1,0.0
2016,63,24.54,3.89,79.22,0.05
2016,64,24.08,3.62,75.73,0.02
2016,65,23.71,3.09,73.21,0.0
2016,66,23.87,3.64,78.38,0.0
2016,67,24.27,3.03,79.27,0.01
2016,68,24.35,3.18,76.71,0.19
2016,69,25.06,3.14,79.81,0.61
2016,70,24.25,1.98,83.78,0.72
2016,71,24.38,3.02,84.99,4.39
2016,72,24.67,2.73,80.63,0.9
2016,73,24.41,3.2,76.66,0.02
2016,74,23.94,2.38,84.42,3.68
2016,75,22.68,4.72,81.37,6.42
2016,76,22.33,3.95,78.3,8.55
2016,77,22.7,2.98,74.65,1.34
2016,78,23.2,4.6,69.74,2.01
2016,79,19.74,4.04,59.04,0.01
2016,80,19.88,4.55,71.17,4.79
2016,81,19.62,4.29,74.28,3.68
2016,82,20.01,4.8,75.55,2.52
2016,83,20.95,2.57,64.81,0.01
2016,84,23.29,2.3,55.33,0.0
2016,85,23.11,2.23,63.44,0.27
2016,86,22.08,2.41,74.71,1.96
2016,87,22.3,2.6,77.03,11.76
2016,88,23.01,2.25,79.11,1.04
2016,89,21.95,1.38,84.67,5.47
2016,90,22.65,2.8,60.11,0.17
2016,91,20.88,3.46,68.19,0.03
2016,92,22.59,2.53,66.33,0.0
2016,93,23.12,2.24,58.88,0.0
2016,94,21.81,3.2,75.53,1.17
2016,95,21.22,2.45,82.52,2.66
2016,96,22.98,4.08,77.0,0.02
2016,97,25.03,2.83,65.45,0.0
2016,98,20.68,4.36,66.95,0.03
2016,99,20.1,1.87,74.96,0.16
2016,100,20.4,2.11,67.41,0.0
2016,101,21.77,1.7,58.1,0.01
2016,102,20.23,3.43,63.5,0.02
2016,103,19.79,3.06,73.84,1.56
2016,104,20.45,2.65,71.68,0.06
2016,105,20.92,2.51,73.99,0.16
2016,106,20.95,2.83,75.57,0.0
2016,107,20.83,2.07,72.73,1.07
2016,108,19.79,3.54,80.91,2.26
2016,109,19.69,2.59,81.52,3.77
2016,110,20.35,2.04,79.78,0.3
2016,111,20.87,1.55,77.27,0.06
2016,112,21.4,2.23,79.84,0.01
2016,113,20.33,3.74,74.31,1.4
2016,114,19.68,5.66,71.49,2.83
2016,115,19.56,3.77,65.38,0.88
2016,116,19.54,2.15,66.33,0.01
2016,117,20.3,1.83,68.76,0.0
2016,118,20.22,2.77,76.33,0.0
2016,119,20.61,2.46,76.04,0.01
2016,120,21.52,2.52,72.62,0.0
2016,121,21.42,1.78,80.54,0.66
2016,122,21.39,3.29,70.92,0.08
2016,123,18.96,1.96,50.78,0.0
2016,124,19.22,2.84,52.92,0.01
2016,125,19.33,2.53,59.55,0.0
2016,126,18.57,2.31,63.61,0.0
2016,127,19.0,1.88,61.39,0.0
2016,128,19.8,1.8,66.77,0.0
2016,129,19.69,2.32,86.84,1.73
2016,130,20.24,4.01,84.9,3.58
2016,131,19.9,5.04,60.03,0.01
2016,132,17.19,3.92,51.85,0.0
2016,133,18.56,3.45,59.76,0.0
2016,134,19.4,1.95,61.04,0.0
2016,135,18.41,2.24,61.69,0.0
2016,136,19.11,2.54,57.15,0.0
2016,137,18.96,2.68,66.91,0.0
2016,138,20.23,2.42,55.32,0.0
2016,139,17.66,2.67,57.23,0.0
2016,140,17.66,3.54,56.07,0.0
2016,141,18.14,2.75,63.67,0.0
2016,142,18.92,1.65,68.19,0.0
2016,143,19.42,2.35,74.98,0.0
2016,144,19.39,4.28,58.1,0.0
2016,145,16.99,4.18,57.34,0.0
2016,146,16.5,2.26,57.04,0.0
2016,147,16.64,3.61,67.01,0.26
2016,148,15.05,6.13,61.67,0.03
2016,149,13.55,4.15,74.5,1.47
2016,150,14.49,3.74,62.82,0.0
2016,151,14.59,2.98,67.73,0.04
2016,152,15.69,2.29,80.11,7.38
2016,153,16.43,1.7,67.78,1.07
2016,154,16.32,1.96,73.12,1.25
2016,155,17.55,2.22,74.49,1.1
2016,156,18.6,5.86,88.87,36.17
2016,157,18.89,7.19,91.0,97.3
2016,158,14.94,5.24,79.47,11.87
2016,159,15.01,3.95,72.33,0.2
2016,160,16.12,3.26,73.0,0.02
2016,161,17.19,4.28,70.71,0.17
2016,162,16.46,3.39,72.46,0.11
2016,163,15.13,4.17,68.33,0.0
2016,164,14.93,2.87,66.11,0.0
2016,165,16.27,1.73,66.97,0.0
2016,166,15.95,2.77,74.98,0.01
2016,167,16.73,2.01,67.06,0.0
2016,168,15.27,2.99,76.39,0.02
2016,169,16.09,3.38,84.1,0.06
2016,170,17.06,2.6,85.79,1.99
2016,171,17.94,4.27,90.02,28.03
2016,172,16.73,4.72,79.74,1.24
2016,173,15.41,4.93,68.41,0.1
2016,174,14.75,4.56,69.36,0.25
2016,175,13.89,3.44,70.39,0.05
2016,176,13.07,5.21,74.79,0.24
2016,177,11.38,4.91,68.2,0.01
2016,178,11.74,2.55,70.59,0.04
2016,179,11.34,3.69,76.88,1.08
2016,180,13.02,4.4,72.61,0.06
2016,181,12.92,2.01,67.72,0.0
2016,182,12.61,3.7,71.52,0.0
2016,183,12.7,4.32,69.97,0.04
2016,184,13.24,3.36,72.83,0.0
2016,185,13.07,2.19,69.45,0.0
2016,186,12.13,2.13,69.63,0.01
2016,187,13.87,3.07,78.84,1.93
2016,188,13.75,5.59,77.9,2.44
2016,189,16.27,6.04,84.84,4.83
2016,190,15.31,2.76,80.53,13.11
2016,191,15.42,3.06,76.84,0.3
2016,192,15.47,2.09,77.88,0.06
2016,193,16.28,4.25,81.1,1.39
2016,194,15.85,4.98,66.03,0.06
2016,195,11.88,6.39,59.78,0.02
2016,196,11.88,3.53,65.57,0.0
2016,197,12.78,2.42,63.89,0.0
2016,198,15.46,2.23,75.83,0.06
2016,199,16.92,1.91,77.52,0.07
2016,200,16.62,2.34,83.37,0.01
2016,201,18.57,1.33,81.08,0.97
2016,202,17.36,2.64,93.98,14.36
2016,203,16.41,2.0,88.69,1.67
2016,204,18.41,3.74,82.82,4.32
2016,205,15.13,5.69,61.42,0.25
2016,206,11.14,3.28,63.67,0.01
2016,207,12.73,4.46,68.64,0.03
2016,208,13.83,2.51,61.62,0.0
2016,209,13.95,4.56,69.21,0.02
2016,210,13.83,3.09,68.12,0.0
2016,211,13.03,3.0,67.45,0.0
2016,212,14.32,2.47,73.42,0.0
2016,213,14.99,2.8,76.74,0.01
2016,214,15.3,2.2,77.37,0.56
2016,215,14.34,4.77,81.36,17.83
2016,216,15.3,6.52,76.5,3.87
2016,217,15.43,6.11,69.14,4.04
2016,218,14.77,3.56,76.85,2.36
2016,219,14.42,2.6,73.46,0.18
2016,220,14.48,1.73,72.65,0.83
2016,221,14.73,1.62,74.34,0.6
2016,222,14.82,2.72,74.85,0.01
2016,223,17.14,3.33,74.55,0.15
2016,224,15.26,3.77,61.6,0.0
2016,225,13.29,2.9,65.68,0.0
2016,226,14.54,3.23,64.15,0.0
2016,227,15.35,2.86,68.49,0.0
2016,228,16.01,2.26,70.86,0.0
2016,229,16.29,2.56,72.95,0.0
2016,230,16.48,2.07,70.42,0.0
2016,231,16.98,2.34,67.77,0.0
2016,232,16.7,3.91,69.46,0.25
2016,233,13.92,4.47,65.52,0.76
2016,234,14.2,2.23,60.65,0.01
2016,235,13.85,1.68,66.24,3.23
2016,236,13.26,3.52,80.83,0.43
2016,237,14.25,3.89,81.6,24.7
2016,238,12.91,4.68,77.31,6.5
2016,239,12.49,3.99,77.94,0.82
2016,240,13.74,2.58,61.07,0.0
2016,241,13.94,2.63,61.77,0.0
2016,242,13.96,2.05,70.32,0.0
2016,243,16.22,2.6,76.72,0.0
2016,244,17.82,3.44,78.35,0.45
2016,245,16.51,2.27,72.91,0.04
2016,246,16.45,3.15,93.56,21.81
2016,247,16.12,5.67,73.86,1.12
2016,248,15.27,2.43,61.67,0.0
2016,249,14.95,2.0,69.26,0.0
2016,250,16.25,2.14,77.76,0.0
2016,251,17.62,1.61,82.69,0.04
2016,252,18.14,3.56,80.19,0.02
2016,253,18.2,4.27,80.88,0.96
2016,254,17.33,4.73,71.16,1.5
2016,255,15.52,2.12,66.61,0.0
2016,256,16.2,2.12,68.42,0.0
2016,257,17.54,1.72,83.09,0.57
2016,258,18.19,2.99,86.06,1.41
2016,259,16.92,3.7,61.05,0.0
2016,260,16.53,3.11,64.6,0.16
2016,261,16.56,2.55,64.91,0.0
2016,262,15.96,2.65,82.59,13.51
2016,263,16.04,3.92,71.2,0.08
2016,264,15.0,2.4,61.06,0.02
2016,265,16.72,3.1,78.0,1.62
2016,266,16.37,4.58,72.86,1.03
2016,267,16.69,5.73,77.76,0.59
2016,268,17.42,2.33,79.71,0.07
2016,269,16.89,2.83,76.78,1.44
2016,270,15.68,3.11,66.22,0.15
2016,271,15.87,4.33,60.48,0.01
2016,272,15.88,2.87,62.7,0.0
2016,273,17.68,5.41,67.64,2.57
2016,274,15.12,5.22,60.92,0.27
2016,275,17.04,4.7,60.43,0.04
2016,276,18.57,2.59,57.2,0.0
2016,277,18.94,5.27,59.59,0.54
2016,278,17.04,5.05,56.22,0.72
2016,279,16.41,4.96,52.07,0.07
2016,280,19.63,2.29,54.7,0.0
2016,281,21.13,2.27,58.62,0.0
2016,282,18.22,4.61,65.42,0.15
2016,283,18.06,3.98,59.99,0.0
2016,284,21.3,4.01,62.83,0.85
2016,285,15.69,4.4,55.33,0.93
2016,286,16.23,2.38,56.63,0.16
2016,287,15.26,5.41,69.92,1.04
2016,288,16.46,2.76,61.0,0.0
2016,289,18.63,3.0,57.66,0.0
2016,290,21.19,3.44,56.62,0.0
2016,291,18.61,3.68,63.18,5.67
2016,292,18.68,3.08,54.19,0.0
2016,293,17.64,3.69,55.42,0.01
2016,294,18.18,4.28,65.09,0.05
2016,295,20.51,3.09,73.06,3.49
2016,296,17.52,3.92,77.01,5.8
2016,297,14.85,5.53,67.51,0.4
2016,298,15.75,3.35,59.74,0.01
