YEAR,DOY,T2M,WS2M,RH2M,PRECTOTCORR
2015,87,-1.25,0.98,98.49,7.88
2015,88,-0.46,0.95,97.93,7.78
2015,89,-0.75,1.12,98.47,14.76
2015,90,-3.54,0.77,98.04,3.1
2015,91,-4.09,0.76,97.55,2.19
2015,92,-3.49,0.7,97.85,3.52
2015,93,-2.75,0.63,96.1,2.35
2015,94,-3.17,0.55,92.42,1.87
2015,95,-4.35,0.9,94.63,0.43
2015,96,-2.45,0.39,91.87,0.22
2015,97,-2.09,0.54,92.21,0.03
2015,98,-2.47,0.76,87.77,0.0
2015,99,-2.5,1.06,92.05,0.01
2015,100,-2.22,1.04,95.86,4.81
2015,101,-4.15,1.09,98.16,7.29
2015,102,-4.63,0.83,98.04,2.8
2015,103,-2.68,1.59,97.82,7.22
2015,104,-4.08,1.05,98.25,3.09
2015,105,-1.8,1.37,98.93,11.58
2015,106,-1.07,0.59,98.82,18.33
2015,107,-1.76,1.03,98.91,6.03
2015,108,-1.83,0.38,93.57,0.07
2015,109,-0.03,0.68,82.7,0.02
2015,110,1.14,0.52,97.35,5.79
2015,111,-0.61,0.71,96.16,2.55
2015,112,-3.63,0.7,95.09,1.59
2015,113,-1.41,0.39,95.34,13.23
2015,114,-1.22,0.44,96.21,8.47
2015,115,-1.9,0.66,90.39,0.23
2015,116,-1.05,0.9,96.61,7.48
2015,117,0.53,0.58,98.74,14.92
2015,118,0.58,1.28,97.97,10.64
2015,119,-0.19,0.9,96.94,10.81
2015,120,-0.97,1.08,98.26,9.86
2015,121,-1.85,0.8,97.77,5.06
2015,122,-1.34,0.45,93.65,0.66
2015,123,-0.57,0.45,93.12,0.14
2015,124,0.76,0.4,96.33,12.68
2015,125,0.23,0.41,94.3,5.35
2015,126,-0.01,0.67,84.33,0.0
2015,127,1.42,0.52,83.51,0.07
2015,128,4.26,1.01,70.55,0.0
2015,129,4.69,0.88,84.5,0.07
2015,130,3.81,0.72,91.38,0.65
2015,131,4.46,0.71,89.95,0.63
2015,132,5.63,0.77,89.32,0.91
2015,133,2.8,0.64,96.25,1.15
2015,134,3.24,0.6,95.42,0.23
2015,135,3.67,0.68,96.05,0.69
2015,136,2.57,0.61,95.83,0.19
2015,137,3.15,0.77,83.91,0.03
2015,138,5.27,0.87,89.63,0.57
2015,139,5.23,0.72,88.43,0.54
2015,140,8.31,0.71,75.2,0.28
2015,141,10.24,0.66,70.5,0.77
2015,142,10.01,0.6,83.75,1.21
2015,143,10.61,0.4,82.51,5.11
2015,144,9.54,0.45,85.59,2.3
2015,145,11.11,0.43,82.77,1.11
2015,146,12.8,0.42,79.03,0.41
2015,147,11.23,0.52,78.21,0.26
2015,148,7.58,0.67,76.59,0.42
2015,149,7.03,0.48,80.59,4.43
2015,150,8.65,0.47,76.1,1.48
2015,151,11.65,0.56,70.57,0.01
2015,152,12.78,0.56,73.79,0.62
2015,153,10.12,0.51,84.94,4.01
2015,154,7.64,0.49,83.42,2.75
2015,155,8.71,0.5,77.56,0.15
2015,156,7.16,0.54,92.39,1.34
2015,157,9.62,0.48,78.23,0.44
2015,158,9.73,0.68,92.61,3.04
2015,159,9.55,0.56,71.06,0.6
2015,160,10.9,0.53,61.82,0.0
2015,161,8.78,0.67,75.84,1.11
2015,162,4.81,0.7,84.75,8.25
2015,163,5.58,0.54,78.77,0.79
2015,164,7.54,0.32,81.81,1.71
2015,165,9.99,0.57,81.7,1.26
2015,166,11.51,0.44,76.03,0.59
2015,167,9.06,0.43,83.3,0.52
2015,168,7.43,0.33,79.73,1.36
2015,169,6.47,0.37,86.41,6.59
2015,170,5.32,0.48,87.4,3.49
2015,171,6.41,0.46,87.09,5.36
2015,172,12.07,0.5,71.28,0.1
2015,173,12.36,0.44,75.4,0.74
2015,174,12.26,0.33,77.97,0.7
2015,175,10.95,0.36,87.42,5.87
2015,176,10.84,0.44,90.96,15.02
2015,177,11.78,0.34,78.41,0.29
2015,178,13.5,0.51,74.29,0.0
2015,179,17.52,0.39,62.17,0.0
2015,180,16.49,0.41,64.77,0.91
2015,181,12.17,0.36,83.08,1.41
2015,182,14.92,0.36,66.35,0.06
2015,183,14.05,0.45,76.03,0.01
2015,184,12.42,0.47,68.36,0.14
2015,185,13.57,0.46,70.97,0.0
2015,186,14.96,0.54,66.31,0.0
2015,187,18.12,0.54,55.62,0.0
2015,188,18.69,0.34,66.24,0.0
2015,189,17.19,0.46,73.52,0.0
2015,190,16.73,0.54,63.51,0.0
2015,191,14.8,0.53,69.32,0.0
2015,192,10.56,0.24,92.42,7.34
2015,193,11.2,0.23,87.83,14.66
2015,194,9.15,0.26,88.25,7.76
2015,195,9.14,0.24,86.83,6.83
2015,196,8.17,0.32,84.94,7.29
2015,197,8.9,0.26,78.76,0.47
2015,198,12.53,0.37,82.89,0.19
2015,199,14.94,0.35,82.25,0.36
2015,200,15.18,0.26,74.32,0.03
2015,201,10.31,0.33,87.34,9.34
2015,202,8.77,0.31,90.59,5.81
2015,203,9.58,0.22,88.22,3.81
2015,204,8.19,0.3,90.11,4.68
2015,205,7.24,0.34,88.73,9.83
2015,206,6.53,0.22,91.66,9.67
2015,207,7.73,0.23,88.13,3.49
2015,208,8.46,0.29,89.97,5.41
2015,209,8.68,0.34,94.49,15.4
2015,210,9.14,0.3,84.76,2.61
2015,211,11.12,0.38,77.79,0.07
2015,212,9.87,0.3,93.17,3.91
2015,213,12.19,0.33,79.31,0.19
2015,214,11.73,0.35,83.97,8.36
2015,215,9.18,0.24,88.72,18.06
2015,216,7.59,0.2,93.0,12.37
2015,217,10.03,0.23,82.29,1.95
2015,218,10.19,0.23,89.64,3.68
2015,219,10.67,0.3,90.64,10.61
2015,220,9.88,0.35,90.77,6.92
2015,221,10.96,0.37,86.99,2.73
2015,222,12.31,0.36,75.3,0.01
2015,223,10.81,0.43,84.27,0.05
2015,224,12.11,0.29,91.57,2.25
2015,225,11.71,0.36,79.14,0.51
2015,226,12.01,0.43,72.27,0.05
2015,227,11.5,0.34,81.01,2.31
2015,228,9.03,0.27,85.72,0.41
2015,229,11.69,0.36,84.16,0.16
2015,230,13.31,0.37,81.68,0.34
2015,231,11.42,0.36,83.12,0.92
2015,232,8.82,0.42,84.9,3.18
2015,233,9.55,0.3,78.67,0.38
2015,234,7.5,0.36,96.98,5.88
2015,235,7.11,0.28,84.85,0.68
2015,236,6.65,0.31,81.73,0.4
2015,237,7.93,0.44,82.22,0.64
2015,238,10.74,0.44,79.44,0.11
2015,239,10.0,0.49,83.94,0.97
2015,240,8.55,0.35,93.33,7.3
2015,241,6.86,0.27,96.36,13.19
2015,242,4.99,0.47,96.71,17.42
2015,243,4.7,0.38,92.35,11.77
2015,244,3.0,0.22,96.47,15.04
2015,245,3.71,0.27,83.61,1.76
2015,246,4.07,0.31,85.43,1.2
2015,247,5.08,0.44,71.71,0.01
2015,248,4.11,0.46,82.97,1.81
2015,249,5.02,0.3,93.17,5.96
2015,250,5.8,0.27,98.54,16.21
2015,251,6.06,0.23,94.57,18.67
2015,252,8.41,0.24,98.23,8.73
2015,253,9.97,0.25,90.3,0.27
2015,254,10.1,0.23,91.77,1.38
2015,255,8.39,0.32,89.96,3.21
2015,256,3.56,0.24,90.7,2.46
2015,257,4.56,0.21,76.74,0.36
2015,258,4.42,0.4,76.45,0.48
2015,259,3.08,0.36,91.65,5.52
2015,260,3.82,0.28,98.75,4.91
2015,261,5.96,0.49,97.44,17.72
2015,262,6.78,0.35,88.19,10.51
2015,263,2.88,0.24,88.91,1.91
2015,264,1.85,0.22,95.3,7.0
2015,265,2.15,0.29,96.32,11.52
2015,266,2.14,0.28,98.24,9.65
2015,267,2.64,0.32,94.7,15.11
2015,268,2.11,0.23,95.83,6.37
2015,269,1.56,0.32,95.4,3.56
2015,270,3.53,0.23,98.43,2.19
2015,271,6.14,0.21,92.02,0.87
2015,272,7.99,0.21,95.39,1.03
2015,273,8.15,0.19,98.75,2.05
2015,274,7.94,0.24,90.85,2.88
2015,275,3.95,0.31,86.85,1.15
2015,276,2.31,0.32,76.79,0.0
2015,277,5.8,0.43,62.83,0.0
2015,278,5.57,0.61,69.12,0.0
2015,279,6.63,0.5,77.42,0.38
2015,280,6.0,0.32,97.24,5.14
2015,281,7.21,0.24,98.84,14.35
2015,282,8.88,0.44,95.58,25.41
2015,283,6.52,0.41,96.08,16.44
2015,284,2.56,0.41,95.77,14.09
2015,285,2.81,0.38,98.66,8.53
2015,286,2.26,0.31,96.94,6.45
2015,287,3.64,0.21,88.47,0.55
2015,288,3.99,0.23,93.76,0.38
2015,289,6.84,0.18,87.79,5.14
2015,290,6.07,0.2,98.47,9.02
2015,291,3.33,0.24,98.01,2.37
2015,292,3.45,0.25,89.57,3.59
2015,293,1.48,0.36,94.65,4.3
2015,294,2.79,0.45,95.21,9.61
2015,295,0.92,0.31,98.04,9.47
2015,296,0.31,0.34,93.62,2.98
2015,297,-0.9,0.39,92.39,0.09
2015,298,-0.42,0.35,92.49,1.4
2015,299,-0.52,0.45,93.47,0.23
2015,300,-0.78,0.37,91.01,0.03
2015,301,0.85,0.28,98.12,11.23
2015,302,1.82,0.5,98.99,14.4
2015,303,1.08,0.36,99.13,7.47
2015,304,0.27,0.33,99.16,20.2
2015,305,-1.51,0.45,98.5,2.42
2015,306,-2.48,0.44,98.21,2.02
2015,307,-1.8,0.43,98.56,1.86
2015,308,-0.71,0.41,98.68,3.84
2015,309,-3.38,0.47,98.1,1.09
2015,310,-0.3,0.51,99.0,13.35
2015,311,-3.44,0.51,99.61,3.99
2015,312,-5.35,0.69,98.28,0.18
2015,313,-6.58,0.55,98.49,0.27
2015,314,-2.1,0.72,99.18,13.97
2015,315,-3.44,0.48,99.6,5.97
2015,316,-1.5,0.79,99.34,14.1
2015,317,-2.35,0.56,99.61,13.67
2015,318,-6.19,0.47,99.89,3.46
2015,319,-8.38,0.68,99.73,0.86
2015,320,-4.77,0.85,99.55,17.62
2015,321,-7.39,0.56,99.34,7.24
2015,322,-8.03,0.52,99.94,4.27
2015,323,-7.27,0.58,99.6,0.82
2015,324,-9.29,0.53,97.09,0.08
2015,325,-2.67,0.76,99.76,4.36
2015,326,-3.89,0.49,97.88,0.57
2015,327,-9.96,0.64,98.52,0.71
2015,328,-16.72,0.79,92.52,0.01
2015,329,-10.68,1.22,71.36,0.0
2015,330,-3.81,1.06,37.36,0.0
2015,331,-4.16,0.99,41.39,0.0
2015,332,-4.57,1.1,39.49,0.0
2015,333,-6.29,1.19,32.07,0.0
2015,334,-8.34,0.86,80.53,1.17
2015,335,-1.34,0.64,99.22,17.64
2015,336,-1.14,0.66,98.38,12.39
2015,337,-2.3,0.5,97.02,6.86
2015,338,-1.45,0.69,99.24,16.06
2015,339,-3.01,0.41,99.37,8.83
2015,340,-0.52,0.64,98.76,16.5
2015,341,-3.04,0.54,99.74,3.36
2015,342,-2.53,0.89,99.47,14.79
2015,343,-4.56,0.59,99.55,8.03
2015,344,-6.81,0.88,99.34,2.42
2015,345,-3.68,0.42,99.43,4.53
2015,346,-7.15,0.79,99.77,0.73
2015,347,-9.69,0.66,99.28,0.78
2015,348,-11.68,0.67,99.42,2.45
2015,349,-6.99,0.58,99.9,2.12
2015,350,-12.22,0.86,89.02,0.07
2015,351,-10.26,0.71,98.56,5.85
2015,352,-11.48,0.6,99.82,5.98
2015,353,-7.04,0.94,99.37,8.45
2015,354,-5.91,0.51,99.72,8.83
2015,355,-8.47,0.66,99.89,4.83
2015,356,-9.92,0.63,99.78,1.6
2015,357,-14.02,0.65,99.53,0.56
2015,358,-19.02,0.51,99.55,0.11
2015,359,-18.47,0.74,99.57,0.09
2015,360,-8.03,0.65,98.69,10.03
2015,361,-6.35,0.61,97.16,3.08
2015,362,-13.86,1.04,99.65,0.1
2015,363,-13.81,1.25,64.76,0.0
2015,364,-12.4,1.2,55.91,0.0
2015,365,-11.8,1.22,48.63,0.0
2016,1,-10.45,1.15,51.9,0.0
2016,2,-9.03,1.28,42.21,0.0
2016,3,-11.92,1.27,46.59,0.0
2016,4,-18.48,0.85,96.43,0.01
2016,5,-15.8,0.7,99.54,1.09
2016,6,-14.51,0.89,99.84,0.19
2016,7,-13.18,0.86,99.9,0.05
2016,8,-11.61,0.59,99.37,0.09
2016,9,-7.69,0.69,93.8,0.72
2016,10,-6.45,0.74,99.64,0.37
2016,11,-6.23,0.78,98.35,3.07
2016,12,-3.13,0.55,99.36,7.88
2016,13,-5.63,0.7,99.91,3.1
2016,14,-5.2,0.5,99.78,2.8
2016,15,-9.87,0.72,99.8,0.32
2016,16,-7.67,0.88,99.82,5.32
2016,17,-4.32,0.83,99.47,5.79
2016,18,-3.38,0.57,99.64,6.97
2016,19,-5.35,0.7,99.72,1.21
2016,20,-8.11,0.84,99.73,2.27
2016,21,-2.64,0.54,99.26,5.92
2016,22,-2.88,0.56,99.02,2.77
2016,23,-6.51,0.54,99.73,0.43
2016,24,-8.64,0.63,99.78,0.63
2016,25,-3.66,0.95,97.62,5.01
2016,26,-0.1,1.32,98.81,8.12
2016,27,-0.8,0.83,98.5,17.83
2016,28,-0.63,1.21,98.34,11.13
2016,29,-5.38,0.57,99.55,1.22
2016,30,-7.31,0.56,98.95,0.74
2016,31,-6.7,0.77,99.79,1.58
2016,32,-8.16,0.73,99.96,1.03
2016,33,-7.96,0.7,99.25,0.15
2016,34,-6.49,0.55,96.88,5.59
2016,35,-2.8,1.28,98.9,5.93
2016,36,-1.02,1.36,98.61,19.83
2016,37,-4.53,0.82,99.19,4.75
2016,38,-2.77,0.95,99.43,12.12
2016,39,0.36,1.14,99.56,3.7
2016,40,1.58,0.71,80.65,0.64
2016,41,0.36,0.59,99.06,7.57
2016,42,-2.69,0.92,97.32,4.38
2016,43,-0.54,0.55,99.04,7.11
2016,44,-2.54,0.64,99.31,8.91
2016,45,-0.95,1.26,99.08,10.67
2016,46,-2.44,0.77,99.34,6.82
2016,47,-1.83,1.18,98.65,11.24
2016,48,-4.04,0.55,99.02,5.91
2016,49,-2.47,0.84,99.11,4.09
2016,50,-2.59,0.74,99.1,3.77
2016,51,-4.96,0.85,98.83,2.08
2016,52,-6.53,0.53,98.97,1.92
2016,53,-5.45,0.54,99.38,0.73
2016,54,-6.84,0.72,98.71,0.26
2016,55,-3.48,0.59,96.78,1.41
2016,56,-1.16,0.53,99.15,1.54
2016,57,-0.52,0.78,99.04,4.8
2016,58,-4.22,0.65,98.64,0.58
2016,59,-2.91,0.58,99.15,5.78
2016,60,-4.22,0.74,99.58,2.58
2016,61,-5.0,1.21,98.94,3.99
2016,62,-3.19,0.52,99.04,5.41
2016,63,-1.59,0.83,98.74,6.28
2016,64,-0.67,0.95,98.95,16.93
2016,65,-3.16,1.04,98.96,4.9
2016,66,-1.59,0.98,98.19,4.66
2016,67,-2.68,0.94,99.23,3.9
2016,68,-3.77,0.6,99.28,4.62
2016,69,-3.95,0.73,98.86,1.65
2016,70,-2.51,1.06,99.02,8.29
2016,71,-5.49,0.78,98.75,2.67
2016,72,-4.81,0.7,99.14,2.57
2016,73,-5.1,0.7,98.79,1.86
2016,74,-4.42,0.64,99.4,5.55
2016,75,-4.12,0.77,99.02,7.05
2016,76,-6.66,0.74,98.48,1.83
2016,77,-8.45,0.96,96.31,0.04
2016,78,-5.56,0.71,94.12,0.0
2016,79,-1.15,0.7,80.4,0.78
2016,80,-0.94,0.61,97.43,2.04
2016,81,-0.39,0.43,97.69,2.63
2016,82,-2.32,0.63,98.98,2.4
2016,83,-1.95,0.68,99.07,11.38
2016,84,-2.48,0.73,99.0,7.27
2016,85,-3.45,0.68,99.33,1.88
2016,86,-2.42,0.68,99.11,4.29
2016,87,-3.45,0.68,99.23,1.89
2016,88,-3.42,0.78,98.14,0.09
2016,89,-0.41,0.91,83.7,0.0
2016,90,1.83,1.24,78.74,0.0
2016,91,1.78,0.82,74.45,0.0
2016,92,0.21,0.69,97.55,0.52
2016,93,-0.8,0.68,99.34,0.93
2016,94,-1.16,0.59,98.82,4.03
2016,95,0.12,0.97,98.34,5.79
2016,96,-0.48,1.56,98.68,20.38
2016,97,-0.51,0.51,98.74,8.89
2016,98,1.73,0.71,94.36,0.15
2016,99,0.64,0.9,98.62,3.0
2016,100,-1.45,0.8,89.45,0.12
2016,101,-1.01,0.61,94.76,0.04
2016,102,0.12,0.51,96.36,2.1
2016,103,-0.15,0.81,96.37,7.56
2016,104,-1.25,0.53,94.95,1.96
2016,105,-2.07,0.71,92.12,0.05
2016,106,-0.79,0.87,98.12,6.75
2016,107,0.46,0.64,98.45,10.83
2016,108,1.01,0.49,98.78,6.42
2016,109,0.47,0.86,95.97,2.14
2016,110,0.33,0.73,81.81,0.08
2016,111,4.57,1.05,74.16,0.0
2016,112,1.84,0.63,94.63,6.16
2016,113,2.62,0.62,95.86,5.8
2016,114,1.51,0.48,97.7,9.24
2016,115,-0.39,0.84,95.21,5.09
2016,116,-1.98,0.6,88.82,0.21
2016,117,-0.63,0.44,96.67,4.04
2016,118,1.55,0.46,90.04,0.4
2016,119,-0.2,0.79,97.62,4.69
2016,120,-0.34,0.56,93.59,0.95
2016,121,-0.26,0.58,94.02,0.24
2016,122,4.11,0.78,95.17,0.56
2016,123,7.12,1.0,80.31,0.05
2016,124,2.73,0.72,94.59,4.69
2016,125,1.2,0.68,79.0,0.64
2016,126,5.71,0.58,60.99,0.0
2016,127,6.45,0.84,71.16,0.01
2016,128,2.48,1.02,91.85,8.64
2016,129,1.72,0.83,82.21,1.27
2016,130,6.11,0.68,64.61,0.0
2016,131,6.41,0.76,76.81,1.02
2016,132,4.76,0.9,83.37,1.0
2016,133,5.25,1.18,78.73,0.03
2016,134,6.71,0.95,77.84,0.0
2016,135,10.78,0.7,74.35,0.31
2016,136,10.21,0.67,78.0,1.49
2016,137,5.0,0.8,84.87,1.86
2016,138,4.02,0.9,92.49,4.13
2016,139,3.23,0.62,85.21,2.89
2016,140,4.99,0.81,83.86,0.95
2016,141,4.11,1.08,81.55,0.19
2016,142,6.85,0.73,70.66,0.23
2016,143,8.66,0.7,79.2,1.34
2016,144,9.6,0.6,80.72,0.4
2016,145,6.93,0.71,80.26,0.5
2016,146,5.34,0.66,79.55,0.46
2016,147,3.31,0.6,80.98,2.28
2016,148,2.47,0.48,86.14,3.38
2016,149,3.43,0.46,83.67,3.99
2016,150,4.68,0.63,83.51,3.12
2016,151,6.99,0.38,71.24,0.51
2016,152,6.66,0.53,86.11,4.23
2016,153,6.15,0.45,90.9,7.85
2016,154,5.27,0.68,86.96,8.61
2016,155,5.71,0.77,91.9,8.4
2016,156,10.54,0.38,75.8,0.36
2016,157,12.73,0.51,76.86,0.0
2016,158,9.37,0.6,81.94,0.28
2016,159,10.74,0.47,67.67,0.01
2016,160,8.15,0.52,79.11,3.45
2016,161,6.59,0.26,74.53,0.83
2016,162,7.45,0.4,83.32,6.37
2016,163,5.81,0.63,89.43,4.81
2016,164,4.85,0.74,86.81,6.13
2016,165,3.94,0.32,82.01,2.19
2016,166,2.12,0.45,90.31,14.35
2016,167,2.64,0.48,88.68,6.63
2016,168,4.07,0.37,90.0,4.4
2016,169,7.28,0.39,81.84,0.81
2016,170,10.75,0.4,74.11,0.41
2016,171,9.39,0.44,83.78,0.62
2016,172,11.25,0.43,76.02,0.25
2016,173,7.35,0.38,89.19,5.23
2016,174,8.57,0.31,80.6,4.53
2016,175,10.83,0.4,77.34,0.68
2016,176,8.94,0.38,91.06,1.52
2016,177,7.01,0.31,90.35,3.5
2016,178,11.91,0.31,72.08,0.07
2016,179,14.11,0.49,75.7,0.4
2016,180,14.24,0.35,78.03,0.25
2016,181,12.65,0.28,78.63,0.72
2016,182,9.78,0.29,83.36,2.19
2016,183,8.66,0.41,89.35,8.05
2016,184,7.33,0.39,88.01,10.85
2016,185,6.48,0.38,88.15,10.48
2016,186,6.11,0.41,94.24,6.02
2016,187,8.64,0.22,86.53,2.96
2016,188,9.98,0.28,81.02,0.94
2016,189,9.61,0.3,88.3,5.03
2016,190,10.58,0.31,87.98,6.83
2016,191,11.07,0.22,86.84,3.06
2016,192,10.05,0.22,90.97,2.95
2016,193,9.2,0.23,88.25,4.04
2016,194,10.84,0.26,84.29,4.29
2016,195,9.38,0.18,88.58,5.02
2016,196,9.28,0.28,94.53,7.2
2016,197,14.22,0.4,77.29,1.07
2016,198,15.54,0.38,73.7,0.8
2016,199,16.09,0.33,71.51,0.58
2016,200,15.43,0.33,78.53,3.06
2016,201,11.9,0.26,92.69,2.15
2016,202,10.4,0.28,92.06,3.3
2016,203,10.91,0.26,86.59,0.79
2016,204,8.65,0.32,91.78,4.13
2016,205,8.25,0.4,93.52,4.98
2016,206,10.22,0.33,89.61,4.37
2016,207,11.5,0.27,81.0,0.32
2016,208,11.99,0.26,82.13,0.16
2016,209,13.53,0.24,80.31,0.22
2016,210,14.29,0.3,82.11,0.26
2016,211,11.32,0.28,81.91,0.42
2016,212,9.37,0.27,81.06,0.51
2016,213,10.75,0.2,86.33,1.61
2016,214,11.97,0.22,84.68,0.95
2016,215,13.33,0.35,80.8,0.11
2016,216,10.1,0.27,90.88,1.81
2016,217,8.38,0.28,86.43,3.5
2016,218,10.68,0.33,89.2,2.7
2016,219,14.26,0.27,84.69,1.12
2016,220,13.82,0.33,88.21,0.55
2016,221,13.8,0.25,85.26,0.57
2016,222,10.51,0.21,92.44,4.14
2016,223,11.85,0.27,85.15,0.57
2016,224,11.97,0.31,92.73,2.05
2016,225,13.89,0.33,83.94,0.17
2016,226,12.02,0.26,85.44,0.63
2016,227,12.11,0.25,86.66,0.92
2016,228,12.18,0.35,87.93,0.64
2016,229,10.57,0.39,81.51,0.41
2016,230,12.16,0.57,70.97,0.0
2016,231,14.71,0.52,70.27,0.01
2016,232,15.44,0.33,78.18,0.1
2016,233,12.64,0.28,90.04,2.88
2016,234,7.76,0.3,94.09,10.83
2016,235,9.89,0.23,86.28,0.35
2016,236,12.2,0.34,80.95,0.2
2016,237,13.98,0.52,79.65,0.01
2016,238,15.93,0.54,72.7,0.28
2016,239,13.94,0.45,80.61,1.06
2016,240,8.88,0.29,86.97,2.53
2016,241,6.1,0.3,95.47,15.13
2016,242,9.28,0.27,94.46,11.75
2016,243,9.08,0.19,96.02,20.35
2016,244,8.78,0.28,91.85,9.12
2016,245,6.85,0.2,92.09,2.4
2016,246,6.58,0.26,93.04,4.34
2016,247,8.02,0.25,83.74,3.8
2016,248,7.32,0.38,83.64,1.86
2016,249,5.88,0.17,94.32,6.67
2016,250,6.38,0.2,94.0,2.96
2016,251,5.82,0.28,96.47,24.02
2016,252,6.91,0.29,89.08,1.97
2016,253,7.46,0.47,97.63,17.37
2016,254,5.83,0.29,91.22,4.55
2016,255,6.78,0.38,77.8,0.13
2016,256,8.96,0.51,69.55,0.0
2016,257,10.64,0.4,74.64,0.01
2016,258,9.46,0.26,92.0,0.5
2016,259,8.27,0.32,94.03,1.56
2016,260,7.22,0.29,97.86,8.96
2016,261,5.97,0.3,95.93,17.74
2016,262,4.34,0.23,97.5,8.84
2016,263,5.09,0.35,91.43,1.53
2016,264,6.75,0.37,76.05,0.01
2016,265,7.68,0.49,67.66,0.0
2016,266,6.17,0.62,73.12,2.57
2016,267,3.62,0.31,93.22,6.82
2016,268,2.72,0.21,97.45,9.22
2016,269,7.63,0.45,98.18,12.1
2016,270,7.25,0.42,95.65,19.04
2016,271,3.36,0.35,85.56,0.68
2016,272,3.34,0.37,82.58,0.01
2016,273,4.1,0.43,74.93,0.0
2016,274,3.75,0.51,79.16,4.11
2016,275,1.72,0.36,90.19,1.06
2016,276,2.22,0.5,85.54,0.05
2016,277,3.07,0.38,90.95,2.8
2016,278,3.16,0.31,94.04,3.33
2016,279,3.36,0.22,94.13,2.61
2016,280,3.03,0.25,84.87,1.41
2016,281,-0.01,0.3,93.19,7.93
2016,282,-0.71,0.42,90.4,0.32
2016,283,-2.04,0.36,87.1,0.26
2016,284,-2.53,0.39,83.48,0.0
2016,285,-0.53,0.44,71.39,0.0
